hospital_name,hospital_number,hospital_addr,latitude,longitude
24시독스동물병원,032-433-0075,"인천 남동구 남동대로 912 유진빌딩 1층
(지번) 간석동 210-2",37.4637755159819,126.708465219018
24시유앤미동물병원,032-433-0755,"인천 남동구 남동대로 910
(지번) 간석동 210-9",37.4635696165707,126.708457540901
24시 인천동물병원 치료해주오,032-432-1432,"인천 남동구 논현로46번길 22
(지번) 논현동 637",37.4014586180252,126.71039968111
24시더원동물병원,032-569-6677,"인천 서구 발산로 41 4층 401~407호
(지번) 원당동",37.5929909578786,126.712012236195
24시마곡M동물의료센터,02-2662-7515,"서울 강서구 방화대로33길 3 성은빌딩 1, 2층
(지번) 방화동 246-64",37.5685868107995,126.816283384345
24시밀리언동물병원,02-2061-5277,"서울 양천구 신월로 320 1층
(지번) 신정동 1028-4",37.5213330352744,126.85645117508
24시 글로리 동물병원,02-855-8575,"서울 금천구 시흥대로 483
(지번) 독산동 145-13",37.4767438576194,126.898256216349
작전24동물병원,032-544-0075,"인천 계양구 장제로694번길 3
(지번) 작전동 925-1",37.5297946159598,126.734021848026
24시쎈텀동물병원,031-992-8275,"경기 김포시 고촌읍 수기로 109 캐슬힐 115, 208호
(지번) 고촌읍 신곡리 880-1",,
가나24시동물병원,031-402-4060,"경기 안산시 단원구 중앙대로 899 안산롯데프라자 1,2층
(지번) 고잔동 537-4",37.3172927250554,126.836398558279
24시 모두의동물병원,02-6951-2475,"경기 광명시 하안로 289 태홍빌딩 A동 2층
(지번) 하안동 51",37.4616895976579,126.880189262175
24시마음든든동물병원,031-474-2475,"경기 안양시 만안구 경수대로 1234 3층
(지번) 석수동 168-27",37.4184309349773,126.911906763408
24시산들산들동물병원,02-393-3588,"서울 마포구 마포대로16길 7
(지번) 아현동 424-14",37.550974625237,126.956497177398
도그앤캣 24시동물병원,031-402-4900,"경기 안산시 단원구 고잔2길 16
(지번) 고잔동 531-2",37.3176332677802,126.832882482976
파주24시동물병원,031-944-5575,"경기 파주시 교하로 87
(지번) 목동동 941-1",37.7276351585525,126.733927631718
닥터윤 24시동물병원,02-359-2020,"서울 은평구 통일로 817
(지번) 대조동 187-24",37.6165625721648,126.92319608226
24시 동물병원,031-281-7585,"경기 용인시 기흥구 구갈로 53
(지번) 구갈동 391-5",37.2791019475452,127.111018301396
와이즈24시동물병원,02-3446-8253,"서울 강남구 학동로6길 7
(지번) 논현동 123-5",37.5112580472271,127.023884947783
24시 애니 동물병원,02-926-8275,"서울 성북구 보문로 99 1층
(지번) 보문동5가 3-1",37.5839929200316,127.019823992916
24시센트럴동물메디컬센터,02-3395-7975,"서울 성동구 고산자로 207
(지번) 행당동 318-36",37.558675403262,127.033736509137
24시예스동물병원,02-534-3475,"서울 서초구 잠원로 24
(지번) 반포1동 20-45",37.5071156980651,127.009873208557
청담아이윌24시동물병원,02-6925-7021,"서울 강남구 삼성로133길 3 지하1층
(지번) 청담동 47",37.519645494799,127.049206652036
24시숨동물병원,031-548-2475,"경기 수원시 권선구 권선로 715
(지번) 권선동 1022-7",37.2587297254743,127.029633125904
펫앤유 24시 동물병원,031-962-8274,"경기 고양시 덕양구 통일로 1128
(지번) 내유동 431-9",37.7150051264077,126.851434546848
24시분당리더스동물병원,031-711-8275,"경기 성남시 분당구 성남대로 45 2층
(지번) 구미동 157",37.3400535228037,127.108397541913
신사24시sky동물병원,,"서울 강남구 도산대로 155
(지번) 신사동 561-16",37.5189394230399,127.025382139794
24시 서울YES동물병원,031-272-1313,"경기 용인시 수지구 현암로 81 벤포스타1 1층
(지번) 죽전동 1174-1",37.3317488294355,127.118347299129
고덕24시동물병원,02-6227-8275,"서울 강동구 동남로 877 106호
(지번) 명일동 48-17",37.5520151961618,127.155801963382
24시 폴동물병원,031-717-7558,"경기 성남시 분당구 성남대로 385 분당클리닉빌딩 102호
(지번) 정자동 15-2",37.37056133067,127.107511843851
24시행당종합동물병원,02-3395-7975,"서울 성동구 고산자로 207
(지번) 행당동 318-36",37.558675403262,127.033736509137
